dataset_doi	dataset_key	dataset_title	dataset_citation	number_records
10.15468/osi63h	64dabd3c-4f34-4520-b9dd-d227a0bf1582	Occurrence Data of Vascular Plants collected or compiled for the Flora of Bavaria	Staatliche Naturwissenschaftliche Sammlungen Bayerns. Occurrence Data of Vascular Plants collected or compiled for the Flora of Bavaria. Occurrence dataset https://doi.org/10.15468/osi63h accessed via GBIF.org on 2021-03-16.	11
10.15468/adb2bb	ed3d96f2-db7b-48cd-9960-f871e7df7286	SBBG - Clifton Smith Herbarium, Santa Barbara Botanic Garden		27
10.15468/hiiw6b	5d47cb09-3ef2-477d-a539-dd7f6955aefd	Herbarium GAT	Pistrick, K. (ed.) 2016+ [continuously updated]: Digital images of specimens at the Herbarium GAT (Leibniz Institute of Plant Genetics and Crop Plant Research, IPK).	4
10.15468/uavt0t	7a0fb075-53c5-470b-a1c9-579bb3147ddf	UCSC Herbarium - Kenneth S. Norris Center for Natural History, University of California Santa Cruz		4
10.15468/hja69f	7bd65a7a-f762-11e1-a439-00145eb45e9a	Tropicos Specimen Data		9
10.15468/iykbez	1984c441-b52a-4ced-ba2f-9a2c4fa1898b	Central Michigan University Herbarium		7
10.15468/kwgtkf	42da6224-6935-4b36-9d58-7728064f6fe8	Muséum d’histoire naturelle du Mans		7
10.15468/ucmdjy	966426ce-f762-11e1-a439-00145eb45e9a	Herbarium Senckenbergianum (FR)		12
10.15468/soyil7	1e98cc26-065e-40ca-9c57-20fa0a2f4981	Herbarium Horti Botanici Pisani (PI), Sistema Museale di Ateneo, Università di Pisa	All the help and manifold efforts by persons and organisations who inspired and promoted the ongoing projects of the digitization of botanical specimens is herewith gratefully acknowledged.	15
10.15468/0lkr3w	854e35e6-f762-11e1-a439-00145eb45e9a	Invertebrate Zoology Division, Yale Peabody Museum	Gall L (2022). Invertebrate Zoology Division, Yale Peabody Museum. Yale University Peabody Museum. Occurrence dataset https://doi.org/10.15468/0lkr3w accessed via GBIF.org on 2022-09-05.	1
10.15468/83cb4a	202cdfcf-0eac-4696-9e48-4797c562ff41	Vascular Plant Herbarium: Herbarium Generale		116
10.15468/1n787c	1804436b-6a12-4fcc-a372-531cc23a41c4	Rutgers University, Chrysler Herbarium		15
10.15468/inygc6	040c5662-da76-4782-a48e-cdea1892d14c	International Barcode of Life project (iBOL)	International Barcode of Life project (iBOL)	17
10.15468/g1zohr	e553568e-2317-4592-8638-92e5ac93b40c	Herbarium specimens of Jardins botaniques and Conservatoire Botanique of Nancy (NCY)		1
10.15468/4g56tp	df12ca07-f133-4550-ab3b-fde13f0e76ba	Lajitietokeskus/FinBIF - Notebook, general observations		22
10.15468/ckxw7v	ae33dc82-0bc2-43b5-b69b-65bf858f1e7a	CHSC - CSU Chico, Chico State Herbarium - Vascular Plants		3
10.15468/hcwetj	aaeac10a-b3ae-4e67-9411-6ad32bdabd25	Berea College, Ralph L. Thompson Herbarium		1
10.15468/s2iu7d	962f59bc-f762-11e1-a439-00145eb45e9a	Collections and observation data National Museum of Natural History Luxembourg		7
10.15468/wqqhtw	456d9e9d-43e4-47f6-acba-6a66cb2a7f05	Mississippi State University		2
